51
dra,dra_chr
tra,tra
pma,pma
mmy,mmy_chr
orc,orc_chr
gnn,gnn_chr
fpm,freporte_chr
qcm,qeynos_chr
btx,btx_chr
tbu,tbu_chr
trt,trt_chr
dsb,dsb_chr
sar,sar_chr
kar,kar_chr
sro,sro_chr
taz,taz_chr
raz,raz_chr
vaz,vaz_chr
xeg,xeg_chr
fen,fen_chr
mar,mar_chr
rth,rth_chr
tho,tho_chr
akn,akn_chr
akm,akm_chr
shn,shn_chr
shm,shm_chr
shf,shf_chr
spr,spr_chr
sdf,sdf_chr
sdm,sdm_chr
stg,stg_chr
stm,stm_chr
ena,ena_chr
cok,cok_chr
efr,efr_chr
cdm,cdm_chr
vrm,vrm_chr
sir,sir_chr
rea,rea_chr
vst,vst_chr
fun,fun_chr
fpm,fpm_chr
gnn,gnn_chr
beh,beh_chr
gol,gol_chr
sgr,sgr_chr
srv,srv_chr
srw,srw_chr
fdr,fdr_chr
vsf,vsf_chr
