40
dru,dru_chr
wyv,wyv_chr
ccd,ccd_chr
sed,sed_chr
dr2,dr2_chr
trk,trk_chr
bwd,bwd_chr
pri,pri_chr
tmt,tmt_chr
gdr,gdr_chr
box,box_chr
brl,brl_chr
cst,cst_chr
vas,vas_chr
tbl,tbl_chr
rak,rak_chr
bon,bon_chr
fdr,fdr_chr
dke,dke
mmy,mmy_chr
lmf,lmf_chr
lmm,lmm_chr
mmf,mmf_chr
mmm,mmm_chr
gia,gia_chr
bet,bet_chr
bat,bat_chr
kob,kob_chr
efr,efr_chr
spi,spi_chr
fen,fen_chr
gtd,gtd_chr
phx,phx_chr
stf,stf_chr
paf,paf_chr
efe,efe_chr
spd,spd_chr
srg,srg_chr
gol,gol_chr
